csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
15,622,0.21872980892658234,,,,,
15,623,0.23044565320014954,,,,,
15,624,0.21779648959636688,,,,,
15,625,0.21356356143951416,,,,,
15,626,0.18287083506584167,,,,,
15,627,0.2461310178041458,,,,,
15,628,0.24721978604793549,,,,,
15,629,0.22504708170890808,,,,,
15,630,0.2320946753025055,,,,,
15,631,0.2302548885345459,,,,,
15,632,0.2527896463871002,,,,,
15,633,0.23855462670326233,,,,,
15,634,0.21586816012859344,,,,,
15,635,0.22890731692314148,,,,,
15,636,0.2189393937587738,,,,,
15,637,0.21507620811462402,,,,,
15,638,0.22984285652637482,,,,,
15,639,0.2142905592918396,,,,,
,75,,0.2216131091117859,,,,
,76,,0.2186512053012848,,,,
,77,,0.22036433219909668,,,,
,78,,0.22754743695259094,,,,
